review_id;user_id;business_id;stars;useful;funny;cool;text;date
nh3t9u2tc688KV4JkQwdhQ;hNVDKA4ka8k3hSlicCQDjQ;C9K3579SJgLPp0oAOM29wg;5;3;1;4;"This was one place that I was looking forward to trying in Nashville and was easily my most memorable meal. Yes, try the dry rub ribs I couldn't get enough of it!! The best dry rub ribs I've had. The seasoning and moistness of the ribs were just fantastic. The green beans were surprisingly different from what I'm used to but it was really tasty and good and so were the beans for sides. We also tried the pulled pork nachos and was finger-licking good with all the cheese. Even their sweet tea was delicious.
There's street parking along the road. Go in and get in line (the entire time we were there, the line was out the door but its worth it!) There is a bar area and was able to catch some games on tv while we were there too as we're eating. It is crowded but table turnover is fast. 
The pictures don't do it enough justice. Go and try it, you won't be disappointed. If I ever go back to Nashville, I'd definitely eat here again!";14/01/2017 22:02
x-Wr6BY-HIHf2fRp2V5pwg;gZTe6SgFxPDq5hq2fX6iSw;aIVk0IEUj7rPaAMeAmBSGg;5;3;0;1;"Came back for lunch time and there were 3-4 other groups around. I ordered literally the exact same thing as before (pork belly plate with Brussels sprouts and corn bread), and my husband ordered the pepper jack bacon mac & cheese & the Cuban.
This time the service was 150% better than before! Water was refilled promptly, didn't tale forever to get the check or even talk to him, and food was out quickly!
The food is just as exceptional as before, although Brussels sprouts are a bit on the greasy side, but overall still delicious. Pork belly has that crispy sweet edges, and despite being a fatty cut, actually had a great ratio of meat to it! Portion size was also great for $12.

I know we didn't eat during the dinner rush so I can't truly say if the restaurant addressed my claims from before, but it looks like they at least tried and I'm quite happy!";07/12/2018 22:40
GgIH0ueMvNJj2bU4tPROOA;MMoQ22Aow5trC8GQROtNAw;_jRB9wKomaO1W3tfA1sX_Q;2;4;0;0;"I was excited to see a new Starr restaurant in the form of burritos open up in Philly. A year of pandemic has left me looking for a little change in take-out options. My partner and I ordered the salsa trio with chips, Baja shrimp burrito, and K-Town burrito. The packaging was very cute, but the food was unfortunately a flop.

Starting with the salsa trio ($6). Highly disappointing. The salsa verde was ok, just a little spicy but not much flavor. The pico de gallo was almost frozen solid, so that was a huge let down.. and then the salsa roja smelled and tasted extremely off. I couldn't put my finger on what I was tasting but it smelled like burning rubber. The chips were excellent though.. too bad there wasn't much use for them.

I thought the K-Town burrito ($14) was ok. It had Korean beef, kimchi, rice, refried beans, grilled scallions, lettuce. My partner, who is Korean, was extremely disappointed in the flavor. He disliked it so much he did not want to finish the burrito. We enjoy Korean fusion foods but he felt there was a bad aftertaste from the kimchi. There wasn't much meat in the burrito although it was hefty overall.

The Baja shrimp burrito ($14) was also ok. The fried shrimp was buffalo flavored which was fine, but I was expecting a different profile from the name ""Baja"". Nothing really stood out in the burrito, it was a little boring despite the description. 

All in all, a very expensive pair of basic burritos with nice names and packaging. We paid about $45 after tip and delivery. Part of me wants to try their mission style burrito or the frito pie, but this experience left me a little sad. :(";04/03/2021 01:51
drgvVR7NJM5bQMs3dwYv2Q;gZTe6SgFxPDq5hq2fX6iSw;FSvFk1lWR0YBYP_-L_iLTQ;5;1;0;0;"Great little local coffee shop that's awesome for studying or reading or just catching up (when it's not packed with Tulane/Loyola students!). It used to be a bank, so the architecture is awesome and super cool with the tall vaulted ceiling. I love their circling selections of fresh brewed ice tea, or you can pick from a ton of hot teas, and they have several options for coffees of various strengths as well. Baristas are always friendly and the service is pretty quick depensing on the technicality of the order in front of you!

They also have an awesome display of pastries, and they even make some awesome bagel sandwiches! I recommend the chocolate croissant or banana bread! Also, the upstairs is better for super quiet studying, but I prefer sitting outside and watching the hustle and bustle on Oak/Carrollton. Free Wi-Fi, and bathroom is tucked in the back.";19/07/2018 05:31
UKOMhioYDIHhpQ0Io4rW3Q;7GJxBv0lHxwyNHs0jaxhLw;mfNF4bUG19l_78FerZPfSA;5;0;0;0;Let me start by saying I never leave reviews. Maybe it's because I'm old and still assume a business should simply do what they say? I took my custom Harley to Mo Music because of the reviews and a personal reference. I had another dealer tell me it would be over $1k to do what Mo Music did for less than $500! My system sounded better then the day it was installed. What they did may not have been elaborate, but they didn't rip me off! This is SO important to me. I just want to patronize local businesses that do the right thing. Simple right? Nope! So many places want to churn and burn. Mo Music is the real deal! They do what's right and want to create lifetime customers. I for one will always take my business and refer others here!! Thank you Mo Music for being an awesome, reputable business!;28/08/2021 04:15
b6M7n_K-xeLltMBwTD_piQ;4qXTMirb3noPUosWj_Pfvw;yZ-vvz96ekS2-zG_ZsyNLQ;5;1;0;1;If you're in the mood for a fresh, tasty burger and tired of the normal fast food then this is your spot! Better than any other fast food in Reno hands down, although you do pay a little more it is definitely worth it. I ordered the double bacon cheese burger and it was absolutely delicious! The bacon had great flavor, as did the burger patty. Don't forget to grab a milkshake with your burger, they are fabulous as well!;11/02/2019 00:07
MpG8Qd9ibl9HNTd657G6JQ;PN29j3BdsiVDu8h5rHkBkg;Vwj0mnaY_6_lSsyOYXRz4g;4;4;1;5;Ok Ok. i it is getting better, Shannon tonight was the best server we ever ever had there after multiple times of going there.   She was so attentive and did an awesome job, and they comped our dessert as it was our 36th wedding anniversary.  Thanks so much.  we do not eat much anymore so we decided on appetizers for dinner and they were absolutely phenomenal.     The blue wedge salad is delicious, and I only wish they would bring the polenta shrimp bacon appetizer back, as I am dying for it.    I need to learn how to make it. yum.;27/10/2021 22:49
etEL5tf1LDZNoSkt5vOi_Q;5XYe6_nNeICXkDO54S-29A;TnB88L2wYnBL6X9axvzg2Q;3;0;0;0;"Cool looking place, made a reservation, pet friendly per their ad.
Arrived and was asked about pet, I said cat and was told, NOPE, we don't accept cats. 
Would have been nice had they put that in the body of their ad! 

The front desk was nice enough to give me the name of other hotel that did accept cats.  The La Quinta, 102 N Alvernon Way, Tucson,  85711. 520-795-0330.  So Qudos for that assistance.   

3 stars for their assistance!";19/01/2022 14:27
fmN70FOPZi0NR-NtMTCQ9w;4qXTMirb3noPUosWj_Pfvw;F9XPDhYq7UDocOzT6e3gdw;2;1;0;2;This place would make me think of a run down Ross store, wouldn't surprise me if they receive all of the products the other higher end outlets can't sell. There was not one customer service person to be found on the floor, I also wouldn't be surprised if the cashier was the only employee working that day. She didn't want to be there, or so it appeared that way from the interaction we received. There are very few bargains here, nothing I'll be going back for anytime soon.;12/01/2016 01:55
k5pZHxZcMIlqm3uOG-R5BA;yZoQ80iWxLJa2NY8MnNukw;lnCNUELxb-6XwiPihhRd-w;1;3;0;0;Doctor sent in script at 1230 pm. At 7 pm I was told a half hour. It's 8 pm and I'm still waiting...this is pretty crummy. I guess they wait until you come into the pharmacy to start on the script, but that goes against the whole point of the doctor sending it in electronically. Just dumb, now I'm sick and waaaaaaaiiiiiitttttttting. Just....never again. I'll go elsewhere.;09/01/2020 01:10
